filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
../bench/0x272052c5d69d7904ef340a5f2945490c9fc3084b.sol,0x272052c5d69d7904ef340a5f2945490c9fc3084b.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740585414.4185,2.61866760253906,1,{},{},{EXIT_CODE_1},{exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xc2 in position 2314: ordinal not in range(128))}
../bench/0xd2344f06ce022a7424619b2af222e71b65824975.sol,0xd2344f06ce022a7424619b2af222e71b65824975.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740580855.79387,3.70181155204773,1,{},{},{EXIT_CODE_1},{exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xe2 in position 5175: ordinal not in range(128))}
../bench/0xd2354acf1a2f06d69d8bc2e2048aabd404445df6.sol,0xd2354acf1a2f06d69d8bc2e2048aabd404445df6.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740583976.312,470.823197364807,0,"{Assertion_Failure,Integer_Overflow}",{},{},{}
../bench/0xd2413729c24f77d77f53d3a3636e41ef65c4f0de.sol,0xd2413729c24f77d77f53d3a3636e41ef65c4f0de.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740584839.29647,575.118764400482,0,{Integer_Overflow},{},{},{}
../bench/0xd2425561799564001f13bc7586936a702675dc70.sol,0xd2425561799564001f13bc7586936a702675dc70.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740580429.92108,425.856662273407,0,{},{},{},{}
../bench/0xd26fb114401ec86887cd09f62eccd95fcf20b571.sol,0xd26fb114401ec86887cd09f62eccd95fcf20b571.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740582313.51157,577.906073570251,0,{Integer_Overflow},{},{},{}
../bench/0xd27b389de0234421dd98fe901c922ad4029cfe88.sol,0xd27b389de0234421dd98fe901c922ad4029cfe88.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740584450.47837,383.837078094482,0,{},{},{},{}
../bench/0xd28130c3f252ae8a7931608d1820341685c5ae6c.sol,0xd28130c3f252ae8a7931608d1820341685c5ae6c.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740583302.67454,2.48613905906677,1,{},{},{EXIT_CODE_1},{exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xcf in position 14038: ordinal not in range(128))}
../bench/0xd28cfec79db8d0a225767d06140aee280718ab7e.sol,0xd28cfec79db8d0a225767d06140aee280718ab7e.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740581729.25784,584.250928163528,0,{},{},{},{}
../bench/0xd29336390aa40680c69392fe0e71bb59985bdcbc.sol,0xd29336390aa40680c69392fe0e71bb59985bdcbc.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740583305.16166,78.4920125007629,254,{},{},"{EXIT_CODE_254,Problem while deploying contract CappedToken using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
../bench/0xd29b239328ce77775ee518bbab99d40dbfe3cf2e.sol,0xd29b239328ce77775ee518bbab99d40dbfe3cf2e.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740581251.46042,477.794924497604,0,"{Assertion_Failure,Block_Dependency,Integer_Overflow}",{},{},{}
../bench/0xd29f0b5b3f50b07fe9a9511f7d86f4f4bac3f8c4.sol,0xd29f0b5b3f50b07fe9a9511f7d86f4f4bac3f8c4.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740582910.0522,392.621351003647,0,{Integer_Overflow},{},{},{}
../bench/0xd2a5b76694655433ab913297fff2f511f7492177.sol,0xd2a5b76694655433ab913297fff2f511f7492177.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740586478.68174,223.790367364883,254,{Integer_Overflow},{},"{EXIT_CODE_254,""Problem while deploying contract KDO using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b'\x08\xc3y\xa0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B{error: BAD_VALUE, message: \""A commission it too low or too high\""}\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'""}",{}
../bench/0xd2bae9a30a40376d25353773010ffe52dba0d688.sol,0xd2bae9a30a40376d25353773010ffe52dba0d688.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740585417.03817,2.25728797912598,1,{},{},{EXIT_CODE_1},{exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xcf in position 38776: ordinal not in range(128))}
../bench/0xd2bb16cf38ca086cab5128d5c25de9477ebd596b.sol,0xd2bb16cf38ca086cab5128d5c25de9477ebd596b.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740584834.32394,4.97033548355103,1,{},{},{EXIT_CODE_1},{exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xe2 in position 27802: ordinal not in range(128))}
../bench/0xd2bfec3f80b7d966d7657a2ecc5982ee2f49336a.sol,0xd2bfec3f80b7d966d7657a2ecc5982ee2f49336a.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740585419.29625,463.309859514236,0,"{Assertion_Failure,Integer_Overflow}",{},{},{}
../bench/0xd2c21a585001d594183f6859a2796316505e37b8.sol,0xd2c21a585001d594183f6859a2796316505e37b8.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740583383.65468,592.645019769669,0,"{Block_Dependency,Transaction_Order_Dependency}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
../bench/0xd2d111c0f3cf09777815b71dd3cac9d435bd760c.sol,0xd2d111c0f3cf09777815b71dd3cac9d435bd760c.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740580863.34432,383.603539466858,0,{Arbitrary_Memory_Access},{},{},{}
../bench/0xd2d660055fecf35b66e8e1da82c3aec55a6d2c51.sol,0xd2d660055fecf35b66e8e1da82c3aec55a6d2c51.sol,confuzzius,solidity,2022/12/31,20250226_1431,1740586704.83749,583.202704429626,0,{},{},{},{}
